first,second,third,freq
professor,snape,coming,52
attention,professor,mcgonagall,52
moment,later,professor,52
time,winner,witch,52
charming,smile,award,52
professor,mcgonagall,well,51
saying,professor,snape,51
harry,professor,lupin,51
going,tell,professor,51
professor,mcgonagall,rose,51
professor,dumbledore,say,51
professor,hermione,replied,51
name,professor,mcgonagall,51
professor,dumbledore,appeared,51
day,professor,mcgonagall,51
professor,lily,said,51
professor,mcgonagall,want,51
said,thank,professor,51
though,professor,mcgonagall,51
professor,binns,said,51
say,something,professor,51
potions,professor,severus,50
professor,mcgonagall,classroom,50
go,hospital,wing,50
professor,snape,stared,50
professor,snape,though,50
take,professor,mcgonagall,50
professor,snape,much,50
away,professor,snape,50
staff,table,professor,50
professor,mcgonagall,think,50
professor,snape,wand,50
professor,snape,used,50
honorary,member,dark,50
member,dark,force,50
LRB,j,l,50
j,l,RRB,50
professor,mcgonagall,stern,49
school,professor,mcgonagall,49
ask,professor,lupin,49
back,professor,lupin,49
professor,snape,saw,49
professor,mcgonagall,watched,49
history,magic,class,49
take,professor,dumbledore,49
turned,face,professor,49
professor,mcgonagall,never,49
professor,dumbledore,entered,49
mean,professor,lupin,49
professor,snape,mcgonagall,49
professor,slughorn,potions,49
professor,head,slytherin,49
year,professor,mcgonagall,49
dark,arts,lesson,49
nodded,professor,mcgonagall,49
hogwarts,professor,dumbledore,49
snape,hermione,said,49
dumbledore,told,us,49
make,professor,snape,49
professor,snape,waiting,49
professor,mcgonagall,look,49
professor,mcgonagall,followed,49
professor,mcgonagall,watching,49
tell,professor,flitwick,49
professor,dolores,umbridge,49
however,professor,snape,49
professor,mcgonagall,madame,49
professor,dumbledore,thinks,49
professor,snape,glared,49
third,class,honorary,49
class,honorary,member,49
harvard,university,hogwarts,49
half,blood,prince,48
professor,snape,ever,48
professor,dumbledore,well,48
would,professor,dumbledore,48
harry,watched,professor,48
professor,snape,taken,48
hand,professor,snape,48
asked,professor,sprout,48
looked,around,room,48
dumbledore,madam,pomfrey,48
first,time,since,48
professor,mcgonagall,help,48
professor,mcgonagall,waited,48
turned,attention,back,48
asked,professor,lupin,48
love,professor,snape,48
professor,snape,last,48
going,professor,mcgonagall,48
dark,arts,classroom,48
professor,slughorn,party,48
professor,mcgonagall,swept,48
l,RRB,LRB,48
RRB,LRB,j,48
professor,snape,probably,47
